study,sample,year,process,split,tree_name,file_path,path_exists,selection,weight_expr,mass
old,DYJets,run2,background,preselection,passedEvents,/afs/cern.ch/work/p/pelai/HZa/ALP/Analysis_code/train_MVA/skimmed_ntuples/DYJets/passedEvents_run2.root,False,passChaHadIso && passNeuHadIso && passdR_gl && passHOverE && H_m>110 && H_m<180,factor*pho1SFs*pho2SFs,
old,data,run2,data,preselection,passedEvents,/afs/cern.ch/work/p/pelai/HZa/ALP/Analysis_code/train_MVA/skimmed_ntuples/data/passedEvents_run2.root,False,passChaHadIso && passNeuHadIso && passdR_gl && passHOverE && H_m>110 && H_m<180,factor*pho1SFs*pho2SFs,
old,sig_mA_1,run2,signal,preselection,passedEvents,/afs/cern.ch/work/p/pelai/HZa/ALP/Analysis_code/train_MVA/skimmed_ntuples/sig/ALP_M1.root,False,passChaHadIso && passNeuHadIso && passdR_gl && passHOverE && H_m>110 && H_m<180,factor*pho1SFs*pho2SFs,1
old,sig_mA_2,run2,signal,preselection,passedEvents,/afs/cern.ch/work/p/pelai/HZa/ALP/Analysis_code/train_MVA/skimmed_ntuples/sig/ALP_M2.root,False,passChaHadIso && passNeuHadIso && passdR_gl && passHOverE && H_m>110 && H_m<180,factor*pho1SFs*pho2SFs,2
old,sig_mA_3,run2,signal,preselection,passedEvents,/afs/cern.ch/work/p/pelai/HZa/ALP/Analysis_code/train_MVA/skimmed_ntuples/sig/ALP_M3.root,False,passChaHadIso && passNeuHadIso && passdR_gl && passHOverE && H_m>110 && H_m<180,factor*pho1SFs*pho2SFs,3
old,sig_mA_4,run2,signal,preselection,passedEvents,/afs/cern.ch/work/p/pelai/HZa/ALP/Analysis_code/train_MVA/skimmed_ntuples/sig/ALP_M4.root,False,passChaHadIso && passNeuHadIso && passdR_gl && passHOverE && H_m>110 && H_m<180,factor*pho1SFs*pho2SFs,4
old,sig_mA_5,run2,signal,preselection,passedEvents,/afs/cern.ch/work/p/pelai/HZa/ALP/Analysis_code/train_MVA/skimmed_ntuples/sig/ALP_M5.root,False,passChaHadIso && passNeuHadIso && passdR_gl && passHOverE && H_m>110 && H_m<180,factor*pho1SFs*pho2SFs,5
old,sig_mA_6,run2,signal,preselection,passedEvents,/afs/cern.ch/work/p/pelai/HZa/ALP/Analysis_code/train_MVA/skimmed_ntuples/sig/ALP_M6.root,False,passChaHadIso && passNeuHadIso && passdR_gl && passHOverE && H_m>110 && H_m<180,factor*pho1SFs*pho2SFs,6
old,sig_mA_7,run2,signal,preselection,passedEvents,/afs/cern.ch/work/p/pelai/HZa/ALP/Analysis_code/train_MVA/skimmed_ntuples/sig/ALP_M7.root,False,passChaHadIso && passNeuHadIso && passdR_gl && passHOverE && H_m>110 && H_m<180,factor*pho1SFs*pho2SFs,7
old,sig_mA_8,run2,signal,preselection,passedEvents,/afs/cern.ch/work/p/pelai/HZa/ALP/Analysis_code/train_MVA/skimmed_ntuples/sig/ALP_M8.root,False,passChaHadIso && passNeuHadIso && passdR_gl && passHOverE && H_m>110 && H_m<180,factor*pho1SFs*pho2SFs,8
old,sig_mA_9,run2,signal,preselection,passedEvents,/afs/cern.ch/work/p/pelai/HZa/ALP/Analysis_code/train_MVA/skimmed_ntuples/sig/ALP_M9.root,False,passChaHadIso && passNeuHadIso && passdR_gl && passHOverE && H_m>110 && H_m<180,factor*pho1SFs*pho2SFs,9
old,sig_mA_10,run2,signal,preselection,passedEvents,/afs/cern.ch/work/p/pelai/HZa/ALP/Analysis_code/train_MVA/skimmed_ntuples/sig/ALP_M10.root,False,passChaHadIso && passNeuHadIso && passdR_gl && passHOverE && H_m>110 && H_m<180,factor*pho1SFs*pho2SFs,10
old,sig_mA_15,run2,signal,preselection,passedEvents,/afs/cern.ch/work/p/pelai/HZa/ALP/Analysis_code/train_MVA/skimmed_ntuples/sig/ALP_M15.root,False,passChaHadIso && passNeuHadIso && passdR_gl && passHOverE && H_m>110 && H_m<180,factor*pho1SFs*pho2SFs,15
old,sig_mA_20,run2,signal,preselection,passedEvents,/afs/cern.ch/work/p/pelai/HZa/ALP/Analysis_code/train_MVA/skimmed_ntuples/sig/ALP_M20.root,False,passChaHadIso && passNeuHadIso && passdR_gl && passHOverE && H_m>110 && H_m<180,factor*pho1SFs*pho2SFs,20
old,sig_mA_25,run2,signal,preselection,passedEvents,/afs/cern.ch/work/p/pelai/HZa/ALP/Analysis_code/train_MVA/skimmed_ntuples/sig/ALP_M25.root,False,passChaHadIso && passNeuHadIso && passdR_gl && passHOverE && H_m>110 && H_m<180,factor*pho1SFs*pho2SFs,25
old,sig_mA_30,run2,signal,preselection,passedEvents,/afs/cern.ch/work/p/pelai/HZa/ALP/Analysis_code/train_MVA/skimmed_ntuples/sig/ALP_M30.root,False,passChaHadIso && passNeuHadIso && passdR_gl && passHOverE && H_m>110 && H_m<180,factor*pho1SFs*pho2SFs,30
new,All_Bkg,run3,background,inclusive,inclusive,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/All_Bkg/run3.root,False,H_m>95 && H_m<180,factor,
new,Data,run3,data,inclusive,inclusive,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/Data/run3.root,False,H_m>95 && H_m<180,factor,
new,mA_M1,run3,signal,train_tree,train,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M1/run3.root,False,H_m>115 && H_m<135,factor,1
new,mA_M1,run3,signal,test_tree,test,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M1/run3.root,False,H_m>115 && H_m<135,factor,1
new,mA_M1,run3,signal,inclusive,inclusive,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M1/run3.root,False,H_m>115 && H_m<135,factor,1
new,mA_M2,run3,signal,train_tree,train,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M2/run3.root,False,H_m>115 && H_m<135,factor,2
new,mA_M2,run3,signal,test_tree,test,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M2/run3.root,False,H_m>115 && H_m<135,factor,2
new,mA_M2,run3,signal,inclusive,inclusive,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M2/run3.root,False,H_m>115 && H_m<135,factor,2
new,mA_M3,run3,signal,train_tree,train,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M3/run3.root,False,H_m>115 && H_m<135,factor,3
new,mA_M3,run3,signal,test_tree,test,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M3/run3.root,False,H_m>115 && H_m<135,factor,3
new,mA_M3,run3,signal,inclusive,inclusive,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M3/run3.root,False,H_m>115 && H_m<135,factor,3
new,mA_M4,run3,signal,train_tree,train,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M4/run3.root,False,H_m>115 && H_m<135,factor,4
new,mA_M4,run3,signal,test_tree,test,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M4/run3.root,False,H_m>115 && H_m<135,factor,4
new,mA_M4,run3,signal,inclusive,inclusive,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M4/run3.root,False,H_m>115 && H_m<135,factor,4
new,mA_M5,run3,signal,train_tree,train,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M5/run3.root,False,H_m>115 && H_m<135,factor,5
new,mA_M5,run3,signal,test_tree,test,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M5/run3.root,False,H_m>115 && H_m<135,factor,5
